[ 2024-10-26 17:20:23,781 ] 18 root - INFO - Initiate the data ingestion
[ 2024-10-26 17:20:30,393 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-10-26 17:20:30,393 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-26 17:20:30,393 ] 75 root - INFO - Exporting train and test file path.
[ 2024-10-26 17:20:30,459 ] 84 root - INFO - Exported train and test file path.
[ 2024-10-26 17:20:30,459 ] 20 root - INFO - Data Initiation Completed
[ 2024-10-26 17:20:30,471 ] 24 root - INFO - Initiate the data Validation
[ 2024-10-26 17:20:30,549 ] 32 root - INFO - Required number of columns:2
[ 2024-10-26 17:20:30,552 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-26 17:20:30,553 ] 32 root - INFO - Required number of columns:2
[ 2024-10-26 17:20:30,553 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-26 17:20:30,706 ] 26 root - INFO - data Validation Completed
